loss,mae,val_loss,val_mae
8029499.5,2288.581298828125,8195133.5,2311.080322265625
8008560.5,2284.927978515625,8163181.5,2305.77294921875
7964924.5,2277.55517578125,8104985.5,2296.201904296875
7895939.0,2266.385986328125,8024345.0,2283.493896484375
7806317.0,2252.369873046875,7924762.5,2268.164306640625
7700602.0,2236.033203125,7810926.5,2250.734130859375
7581290.5,2217.59130859375,7683706.0,2231.2919921875
7449733.0,2197.302001953125,7544366.5,2209.9169921875
7305840.0,2175.016845703125,7392486.5,2186.517578125
7150646.5,2150.784423828125,7230109.0,2161.31494140625
6986385.5,2124.84375,7059154.0,2134.504150390625
6812121.0,2097.3310546875,6877587.0,2105.770263671875
6629446.5,2067.884033203125,6689083.5,2075.511962890625
6439971.5,2036.9964599609375,6492409.5,2043.5335693359375
6243173.5,2004.417724609375,6289592.0,2010.021240234375
6038820.0,1970.17529296875,6078403.0,1974.6396484375
5827993.0,1934.38330078125,5860821.0,1937.5882568359375
5611833.0,1896.616455078125,5640399.5,1899.236328125
5391741.0,1857.7291259765625,5413264.5,1858.97412109375
5166284.5,1817.0030517578125,5181459.5,1817.0096435546875
